Experiment,Year,SampleID,FrogID,Block,Exp.Block,Date,Day,DayOfExpo,TimeSinceExposure,AccTemp,PerfTemp,AccInc,PerfInc,LnSwabBd,LnFilterBd,TotalTime.min,TotalVolumeFiltered.mL,Notes
2021.IndInf,21,01_08/09,1,A,21.A,44417,-8,-7,-1,20,20,7,4,0,,,,
2021.IndInf,21,01_08/17,1,A,21.A,44425,0,-7,7,20,20,7,4,0,,,,
2021.IndInf,21,01_08/24,1,A,21.A,44432,7,-7,14,20,20,7,4,0,,,,
2021.IndInf,21,01_09/07,1,A,21.A,44446,21,-7,28,20,20,7,4,0,,,,
2021.IndInf,21,01_09/14,1,A,21.A,44453,28,-7,35,20,20,7,4,0,,,,
2021.IndInf,21,01_09/21,1,A,21.A,44460,35,-7,42,20,20,7,4,0,,,,
2021.IndInf,21,02_08/23,2,A,21.A,44431,6,7,-1,10,10,4,6,0,,,,
2021.IndInf,21,02_08/31,2,A,21.A,44439,14,7,7,10,10,4,6,6.503621073,,,,
2021.IndInf,21,02_09/07,2,A,21.A,44446,21,7,14,10,10,4,6,5.232967809,,,,
2021.IndInf,21,02_09/14,2,A,21.A,44453,28,7,21,10,10,4,6,7.729954032,,,,
2021.IndInf,21,02_09/21,2,A,21.A,44460,35,7,28,10,10,4,6,0,,,,
2021.IndInf,21,03_08/16,3,A,21.A,44424,-1,0,-1,20,20,7,7,0,,,,
2021.IndInf,21,03_08/24,3,A,21.A,44432,7,0,7,20,20,7,7,0,,,,
2021.IndInf,21,03_09/07,3,A,21.A,44446,21,0,21,20,20,7,7,0,,,,
2021.IndInf,21,03_09/14,3,A,21.A,44453,28,0,28,20,20,7,7,0,,,,
2021.IndInf,21,03_09/21,3,A,21.A,44460,35,0,35,20,20,7,7,0,,,,
2021.IndInf,21,04_08/16,4,A,21.A,44424,-1,0,-1,10,15,1,5,0,,,,
2021.IndInf,21,04_08/24,4,A,21.A,44432,7,0,7,10,15,1,5,0,,,,
2021.IndInf,21,04_08/31,4,A,21.A,44439,14,0,14,10,15,1,5,0,,,,
2021.IndInf,21,04_09/07,4,A,21.A,44446,21,0,21,10,15,1,5,0,,,,
2021.IndInf,21,04_09/14,4,A,21.A,44453,28,0,28,10,15,1,5,1.691779997,,,,
2021.IndInf,21,04_09/21,4,A,21.A,44460,35,0,35,10,15,1,5,0,,,,
2021.IndInf,21,05_09/07,5,A,21.A,44446,21,7,14,10,20,7,4,0,,,,
2021.IndInf,21,05_09/14,5,A,21.A,44453,28,7,21,10,20,7,4,0,,,,
2021.IndInf,21,05_09/21,5,A,21.A,44460,35,7,28,10,20,7,4,0,,,,
2021.IndInf,21,06_08/09,6,A,21.A,44417,-8,-7,-1,10,20,6,7,0,,,,
2021.IndInf,21,06_08/17,6,A,21.A,44425,0,-7,7,10,20,6,7,6.519355202,,,,
2021.IndInf,21,06_08/24,6,A,21.A,44432,7,-7,14,10,20,6,7,0,,,,
2021.IndInf,21,06_08/31,6,A,21.A,44439,14,-7,21,10,20,6,7,0,,,,
2021.IndInf,21,06_09/07,6,A,21.A,44446,21,-7,28,10,20,6,7,0,,,,
2021.IndInf,21,06_09/14,6,A,21.A,44453,28,-7,35,10,20,6,7,0,,,,
2021.IndInf,21,06_09/21,6,A,21.A,44460,35,-7,42,10,20,6,7,0,,,,
2021.IndInf,21,07_08/23,7,A,21.A,44431,6,7,-1,20,10,1,1,0,,,,
2021.IndInf,21,07_08/31,7,A,21.A,44439,14,7,7,20,10,1,1,2.393529521,,,,
2021.IndInf,21,07_09/07,7,A,21.A,44446,21,7,14,20,10,1,1,5.819098614,,,,
2021.IndInf,21,07_09/14,7,A,21.A,44453,28,7,21,20,10,1,1,0,,,,
2021.IndInf,21,07_09/21,7,A,21.A,44460,35,7,28,20,10,1,1,0.860740113,,,,
2021.IndInf,21,08_08/09,8,A,21.A,44417,-8,-7,-1,10,10,1,1,0,,,,
2021.IndInf,21,08_08/17,8,A,21.A,44425,0,-7,7,10,10,1,1,4.313266506,,,,
2021.IndInf,21,08_08/24,8,A,21.A,44432,7,-7,14,10,10,1,1,1.341495564,,,,
2021.IndInf,21,08_08/31,8,A,21.A,44439,14,-7,21,10,10,1,1,0,,,,
2021.IndInf,21,08_09/07,8,A,21.A,44446,21,-7,28,10,10,1,1,3.914171763,,,,
2021.IndInf,21,08_09/14,8,A,21.A,44453,28,-7,35,10,10,1,1,0,,,,
2021.IndInf,21,08_09/21,8,A,21.A,44460,35,-7,42,10,10,1,1,0,,,,
2021.IndInf,21,09_08/16,9,A,21.A,44424,-1,0,-1,20,25,4,8,0,,,,
2021.IndInf,21,09_08/24,9,A,21.A,44432,7,0,7,20,25,4,8,0,,,,
2021.IndInf,21,09_09/07,9,A,21.A,44446,21,0,21,20,25,4,8,0,,,,
2021.IndInf,21,09_09/14,9,A,21.A,44453,28,0,28,20,25,4,8,0,,,,
2021.IndInf,21,09_09/21,9,A,21.A,44460,35,0,35,20,25,4,8,0,,,,
2021.IndInf,21,10_08/09,10,A,21.A,44417,-8,-7,-1,20,10,4,6,0,,,,
2021.IndInf,21,10_08/17,10,A,21.A,44425,0,-7,7,20,10,4,6,0,,,,
2021.IndInf,21,10_08/24,10,A,21.A,44432,7,-7,14,20,10,4,6,0,,,,
2021.IndInf,21,10_08/31,10,A,21.A,44439,14,-7,21,20,10,4,6,0,,,,
2021.IndInf,21,10_09/07,10,A,21.A,44446,21,-7,28,20,10,4,6,0,,,,
2021.IndInf,21,10_09/14,10,A,21.A,44453,28,-7,35,20,10,4,6,0,,,,
2021.IndInf,21,10_09/21,10,A,21.A,44460,35,-7,42,20,10,4,6,0,,,,
2021.IndInf,21,11_08/16,11,A,21.A,44424,-1,0,-1,20,10,4,6,0,,,,
2021.IndInf,21,11_08/24,11,A,21.A,44432,7,0,7,20,10,4,6,6.058255581,,,,
2021.IndInf,21,11_08/31,11,A,21.A,44439,14,0,14,20,10,4,6,5.893614962,,,,
2021.IndInf,21,11_09/07,11,A,21.A,44446,21,0,21,20,10,4,6,8.221840599,,,,
2021.IndInf,21,11_09/14,11,A,21.A,44453,28,0,28,20,10,4,6,8.190666821,,,,
2021.IndInf,21,11_09/21,11,A,21.A,44460,35,0,35,20,10,4,6,9.789633702,,,,
2021.IndInf,21,12_08/23,12,A,21.A,44431,6,7,-1,20,20,6,7,0,,,,
2021.IndInf,21,12_09/07,12,A,21.A,44446,21,7,14,20,20,6,7,0,,,,
2021.IndInf,21,12_09/14,12,A,21.A,44453,28,7,21,20,20,6,7,0,,,,
2021.IndInf,21,12_09/21,12,A,21.A,44460,35,7,28,20,20,6,7,0,,,,
2021.IndInf,21,13_08/16,13,A,21.A,44424,-1,0,-1,10,25,6,2,0,,,,
2021.IndInf,21,13_08/24,13,A,21.A,44432,7,0,7,10,25,6,2,0,,,,
2021.IndInf,21,13_08/31,13,A,21.A,44439,14,0,14,10,25,6,2,0,,,,
2021.IndInf,21,13_09/07,13,A,21.A,44446,21,0,21,10,25,6,2,0,,,,
2021.IndInf,21,13_09/14,13,A,21.A,44453,28,0,28,10,25,6,2,0,,,,
2021.IndInf,21,13_09/21,13,A,21.A,44460,35,0,35,10,25,6,2,0,,,,
2021.IndInf,21,14_08/16,14,A,21.A,44424,-1,0,-1,20,15,7,3,0,,,,
2021.IndInf,21,14_08/24,14,A,21.A,44432,7,0,7,20,15,7,3,2.135670127,,,,
2021.IndInf,21,14_09/07,14,A,21.A,44446,21,0,21,20,15,7,3,1.605778836,,,,
2021.IndInf,21,14_09/14,14,A,21.A,44453,28,0,28,20,15,7,3,1.25035903,,,,
2021.IndInf,21,14_09/21,14,A,21.A,44460,35,0,35,20,15,7,3,5.208094606,,,,
2021.IndInf,21,15_08/16,15,A,21.A,44424,-1,0,-1,10,10,6,1,0,,,,
2021.IndInf,21,15_08/24,15,A,21.A,44432,7,0,7,10,10,6,1,1.248443575,,,,
2021.IndInf,21,15_09/07,15,A,21.A,44446,21,0,21,10,10,6,1,0,,,,
2021.IndInf,21,15_09/14,15,A,21.A,44453,28,0,28,10,10,6,1,0,,,,
2021.IndInf,21,15_09/21,15,A,21.A,44460,35,0,35,10,10,6,1,0,,,,
2021.IndInf,21,16_08/16,16,A,21.A,44424,-1,0,-1,10,20,1,4,0,,,,
2021.IndInf,21,16_08/24,16,A,21.A,44432,7,0,7,10,20,1,4,0,,,,
2021.IndInf,21,16_09/07,16,A,21.A,44446,21,0,21,10,20,1,4,0,,,,
2021.IndInf,21,16_09/14,16,A,21.A,44453,28,0,28,10,20,1,4,0,,,,
2021.IndInf,21,16_09/21,16,A,21.A,44460,35,0,35,10,20,1,4,0,,,,
2021.IndInf,21,17_08/09,17,B,21.B,44417,-8,-7,-1,20,20,15,12,0,,,,
2021.IndInf,21,17_08/17,17,B,21.B,44425,0,-7,7,20,20,15,12,0,,,,
2021.IndInf,21,17_08/24,17,B,21.B,44432,7,-7,14,20,20,15,12,0,,,,
2021.IndInf,21,17_08/31,17,B,21.B,44439,14,-7,21,20,20,15,12,0,,,,
2021.IndInf,21,17_09/07,17,B,21.B,44446,21,-7,28,20,20,15,12,0,,,,
2021.IndInf,21,17_09/14,17,B,21.B,44453,28,-7,35,20,20,15,12,0,,,,
2021.IndInf,21,17_09/21,17,B,21.B,44460,35,-7,42,20,20,15,12,0,,,,
2021.IndInf,21,18_08/16,18,B,21.B,44424,-1,0,-1,10,15,11,14,0,,,,
2021.IndInf,21,18_08/24,18,B,21.B,44432,7,0,7,10,15,11,14,4.93446942,,,,
2021.IndInf,21,18_08/31,18,B,21.B,44439,14,0,14,10,15,11,14,0,,,,
2021.IndInf,21,18_09/07,18,B,21.B,44446,21,0,21,10,15,11,14,0,,,,
2021.IndInf,21,18_09/14,18,B,21.B,44453,28,0,28,10,15,11,14,0,,,,
2021.IndInf,21,18_09/21,18,B,21.B,44460,35,0,35,10,15,11,14,1.407285243,,,,
2021.IndInf,21,19_08/16,19,B,21.B,44424,-1,0,-1,20,10,12,11,0,,,,
2021.IndInf,21,19_08/24,19,B,21.B,44432,7,0,7,20,10,12,11,2.815806834,,,,
2021.IndInf,21,19_09/07,19,B,21.B,44446,21,0,21,20,10,12,11,6.798444859,,,,
2021.IndInf,21,19_09/14,19,B,21.B,44453,28,0,28,20,10,12,11,7.349600342,,,,
2021.IndInf,21,19_09/21,19,B,21.B,44460,35,0,35,20,10,12,11,6.23071007,,,,
2021.IndInf,21,20_08/16,20,B,21.B,44424,-1,0,-1,10,10,16,16,0,,,,
2021.IndInf,21,20_08/24,20,B,21.B,44432,7,0,7,10,10,16,16,0,,,,
2021.IndInf,21,20_09/07,20,B,21.B,44446,21,0,21,10,10,16,16,0,,,,
2021.IndInf,21,20_09/14,20,B,21.B,44453,28,0,28,10,10,16,16,1.564298635,,,,
2021.IndInf,21,20_09/21,20,B,21.B,44460,35,0,35,10,10,16,16,2.619117331,,,,
2021.IndInf,21,21_08/09,21,B,21.B,44417,-8,-7,-1,10,20,11,15,0,,,,
2021.IndInf,21,21_08/17,21,B,21.B,44425,0,-7,7,10,20,11,15,6.463428905,,,,
2021.IndInf,21,21_08/24,21,B,21.B,44432,7,-7,14,10,20,11,15,0,,,,
2021.IndInf,21,21_08/31,21,B,21.B,44439,14,-7,21,10,20,11,15,0,,,,
2021.IndInf,21,21_09/07,21,B,21.B,44446,21,-7,28,10,20,11,15,0,,,,
2021.IndInf,21,21_09/14,21,B,21.B,44453,28,-7,35,10,20,11,15,0,,,,
2021.IndInf,21,21_09/21,21,B,21.B,44460,35,-7,42,10,20,11,15,0,,,,
2021.IndInf,21,22_08/09,22,B,21.B,44417,-8,-7,-1,10,10,16,11,0,,,,
2021.IndInf,21,22_08/17,22,B,21.B,44425,0,-7,7,10,10,16,11,3.676813687,,,,
2021.IndInf,21,22_08/24,22,B,21.B,44432,7,-7,14,10,10,16,11,0,,,,
2021.IndInf,21,22_09/07,22,B,21.B,44446,21,-7,28,10,10,16,11,0,,,,
2021.IndInf,21,22_09/14,22,B,21.B,44453,28,-7,35,10,10,16,11,2.727915004,,,,
2021.IndInf,21,22_09/21,22,B,21.B,44460,35,-7,42,10,10,16,11,0,,,,
2021.IndInf,21,23_08/09,23,B,21.B,44417,-8,-7,-1,20,10,12,16,0,,,,
2021.IndInf,21,23_08/17,23,B,21.B,44425,0,-7,7,20,10,12,16,0,,,,
2021.IndInf,21,23_08/24,23,B,21.B,44432,7,-7,14,20,10,12,16,0,,,,
2021.IndInf,21,23_09/07,23,B,21.B,44446,21,-7,28,20,10,12,16,0,,,,
