Experiment,IncNum,Block,Treatment,AvgTempC,SDTempC
2021.IndInf,01,A,10,10.7338216,1.004251438
2021.IndInf,02,A,25,25.91139759,0.904509436
2021.IndInf,03,A,15,15.56091344,0.860759878
2021.IndInf,04,A,20,20.82823738,0.892802582
2021.IndInf,05,A,15,14.8822098,0.64863672
2021.IndInf,06,A,10,10.37997036,1.044396646
2021.IndInf,07,A,20,19.29599795,1.277106736
2021.IndInf,08,A,25,26.06339085,0.797939497
2021.IndInf,09,B,15,15.67591901,0.608454253
2021.IndInf,10,B,25,25.47882512,0.657436757
2021.IndInf,11,B,10,11.21528433,0.98563572
2021.IndInf,12,B,20,20.39027817,0.848001142
2021.IndInf,13,B,25,24.78798386,0.632076571
2021.IndInf,14,B,15,15.7360223,0.667873255
2021.IndInf,15,B,20,20.27669102,0.732766155
2021.IndInf,16,B,10,10.60375558,1.027333959
2021.IndInf,17,C,10,11.09582629,0.926193026
2021.IndInf,18,C,20,19.55438674,0.53196115
2021.IndInf,19,C,25,25.6689064,0.66371944
2021.IndInf,20,C,15,14.9384689,0.585332092
2021.IndInf,21,C,10,10.96727553,0.918125193
2021.IndInf,22,C,25,25.18440962,0.51870064
2021.IndInf,23,C,20,20.45451232,0.391070009
2021.IndInf,24,C,15,16.71046626,0.471525497
2021.IndInf,25,D,15,15.24150088,0.618228174
2021.IndInf,26,D,10,10.12577553,0.937431084
2021.IndInf,27,D,25,24.22058363,0.482412611
2021.IndInf,28,D,20,20.36180135,0.786079966
2021.IndInf,29,D,15,16.15497946,0.501766058
2021.IndInf,30,D,10,10.61865786,0.946745378
2021.IndInf,31,D,20,20.89166373,0.499553692
2021.IndInf,32,D,25,19.34376438,2.265660407
2021.IndInf,33,E,20,20.85792136,0.404621593
2021.IndInf,34,E,15,15.63054842,0.511628789
2021.IndInf,35,E,10,10.60373621,0.977203978
2021.IndInf,36,E,25,25.91591784,0.764379538
2021.IndInf,37,E,15,14.92743603,0.686779803
2021.IndInf,38,E,10,10.5753659,0.957458609
2021.IndInf,39,E,20,22.1180625,3.168014963
2021.IndInf,40,E,25,26.22036062,0.432938694
2022.IndInf,01,A,10,10.98030308,0.263303802
2022.IndInf,02,A,25,25.44207882,0.454396192
2022.IndInf,04,A,20,19.84267555,1.235616172
2022.IndInf,05,A,15,15.44791313,0.425831102
2022.IndInf,06,A,10,10.35741549,0.176880206
2022.IndInf,07,A,20,20.79858352,0.217384781
2022.IndInf,08,B,15,15.06227089,0.583765089
2022.IndInf,09,B,10,11.25459811,0.14321917
2022.IndInf,10,B,25,26.03484414,0.778335721
2022.IndInf,11,B,20,20.63391868,0.502643981
2022.IndInf,12,B,10,10.6887602,0.192284501
2022.IndInf,13,B,15,15.87064122,0.331883362
2022.IndInf,14,B,20,21.21219151,0.36208715
2022.IndInf,15,C,15,14.93455023,0.234259505
2022.IndInf,16,C,10,11.33571551,0.152165256
2022.IndInf,17,C,25,25.85879489,0.626988344
2022.IndInf,18,C,15,15.87607327,0.183865923
2022.IndInf,19,C,20,20.64527358,0.389210692
2022.IndInf,20,C,10,10.76056842,0.198050049
2022.IndInf,21,C,20,20.27466528,0.550094515
2022.IndInf,22,D,25,25.16311213,0.724536668
2022.IndInf,23,D,15,15.57409964,0.746587221
2022.IndInf,24,D,20,20.86152234,0.396585232
2022.IndInf,25,D,10,10.24526422,0.146544423
2022.IndInf,26,D,15,15.67510103,0.376617389
2022.IndInf,27,D,10,10.52515681,0.189351587
2022.IndInf,28,D,20,20.73316875,0.55012971
2022.IndInf,29,E,20,20.52706271,0.571052548
2022.IndInf,30,E,15,15.41555926,0.243008611
2022.IndInf,31,E,10,10.32305135,0.151273263
2022.IndInf,32,E,15,15.98416233,0.837618197
2022.IndInf,33,E,20,20.42756536,0.400524151
2022.IndInf,34,E,25,25.25616514,0.383489035
2022.IndInf,35,E,10,10.6755154,0.210804871
2022.IndInf,36,F,25,25.80408382,0.634229685
2022.IndInf,37,F,10,10.62013072,0.189950518
2022.IndInf,38,F,15,15.87940494,0.440291921
2022.IndInf,39,F,20,20.36273196,0.844567476
2022.IndInf,40,F,10,10.09740161,0.167404269
2022.IndInf,41,F,15,15.4232584,0.201136342
2022.IndInf,42,F,20,21.18766167,0.319515563
2022.IndInf,43,F,10,10.65810519,0.165318029
2022.IndInf,44,F,20,20.82873689,0.422344125
